user_id,nome,email,data_cadastro,cidade,estado,valor_ultima_compra,data_ultimo_login
3e4cd4aa-904c-45d7-a242-cd4e64601acb,Ana Liz Novaes,nicolasgoncalves@example.net,2026-06-24,Dias,sao paulo,968.82,2026-08-22 22:09:58.191486
6d4516ab-8cc3-47d2-9e43-f152ae798e00,Francisco Silveira,ybarros@example.net,2025-03-01,Albuquerque do Campo,PR,275.88,2026-08-10 17:02:09.777518
d02c239a-ca87-457d-9461-9fd94a15d9b5,Sabrina Abreu,qsilveira@example.com,2026-03-30,Ramos,SC,754.25,2026-08-30 11:41:40.628894
39093ac4-e09c-4013-93b2-eb09ca761885,Otto Porto,acastro@example.org,2025-10-22,Campos,BA,,2026-08-08 07:21:52.457987
db500b22-0f0e-4aaa-863b-6b95a658a6ce,Liz Aparecida,pvieira@example.org,2026-03-20,da Cunha do Norte,PR,855.67,2026-08-29 04:29:31.335881
a7ebb418-769e-4517-9ccf-85a829bd8dbd,Maria Vitória Borges,waparecida@example.com,2025-06-18,Machado de Minas,rio de janeiro,622.53,2026-08-21 11:58:55.743003
04fe67fc-769a-429e-b15d-60f80776ccc0,Dr. Lorenzo Costela,mariacamara@example.org,2025-03-16,Pinto do Sul,sao paulo,328.14,2026-08-10 22:22:39.568421
f94f53d8-3f23-495a-a826-2a7e61254fc1,Dr. Vicente Abreu,lucas-gabrielcassiano@example.net,2025-11-04,Albuquerque,SC,148.21,2026-08-01 04:44:11.521253
f4fb5807-8c86-4f9e-a7ec-7a3c65a49824,Caleb Sousa,samuelrios@example.com,2026-08-29,das Neves,BA,206.54,2026-08-16 12:20:20.425480
094c9565-2ae8-41b4-bf59-7b075fcbf16f,Mariah Porto,kaiquenascimento@example.com,2026-02-02,Moraes,PR,913.75,2026-08-06 17:48:07.843359
e7f95157-c04e-4ad7-b73b-42715788ab40,Maria Fernanda da Costa,ucavalcanti@example.org,2025-11-28,Castro de Rezende,BA,,2026-08-08 10:16:25.719817
c3eb4b23-dabc-4128-994b-a4db971813ce,Enzo Peixoto,peixotoesther@example.org,2026-07-19,Araújo Alegre,rio de janeiro,991.65,2026-08-29 11:39:02.259929
8df862a8-e353-4f29-8697-918fa854a6a0,Heloisa Barros,ravi-lucca32@example.net,2024-09-05,Casa Grande,BA,946.19,2026-08-01 10:48:34.582515
67c4b212-b954-413b-8cad-3f555247c1ee,Maria Luísa Pinto,maria-ceciliamoreira@example.net,2024-12-15,Guerra de Cavalcanti,São Paulo,149.09,2026-08-09 02:10:44.897163
52c05558-c4d8-4fdb-bb99-57eb8d9b1883,Nina Moreira,nunesmurilo@example.com,2025-06-06,Pastor de Araújo,SC,,2026-08-18 21:41:28.526306
6ffe6652-2026-45c5-888b-f35a5609406d,Ester Alves,ceciliaborges@example.org,2026-07-19,Aragão Paulista,BA,681.52,2026-08-17 06:03:19.258372
c1818dd9-3e7f-4ec6-bded-1b42576304de,Matheus Pereira,luisafonseca@example.com,2026-01-09,Azevedo,PR,497.97,2026-08-10 22:08:43.139984
baccfe9e-4e6a-4a73-bb70-3a388270da5d,Oliver Costa,da-luzpedro-henrique@example.com,2026-08-02,Cavalcante do Campo,São Paulo,451.53,2026-08-13 14:42:32.105517
ea0e2323-4c3a-4fc0-b13f-ca3fa1690d2d,Ravi Nascimento,brendamartins@example.net,2026-06-20,Santos das Pedras,Rio de Janeiro,,2026-08-30 16:30:06.635634
b4bc1cba-d9e5-4f5c-b8ee-998a11b2f779,Dr. Gustavo Henrique Aragão,carvalhosara@example.org,2025-09-25,da Rosa de Albuquerque,MG,304.41,2026-08-04 11:36:34.690725
008b43fc-316b-48a7-a489-daed6464ece7,Nicole Jesus,pachecothomas@example.net,2026-05-14,Guerra de Andrade,PR,948.68,2026-08-19 17:10:39.956151
3446a84a-4cda-4f79-b497-28f7b2a15f15,Erick Ferreira,sara30@example.net,2026-01-18,da Rosa,São Paulo,505.84,2026-08-13 04:40:43.028582
95156d21-5cfa-42d0-8223-bb4e7a5d4403,Rebeca da Cunha,oliviamarques@example.net,2025-12-24,Abreu da Praia,MG,,2026-08-22 12:55:20.492796
9d737c7a-503e-4ed3-a6ca-ae99b86c136f,Alice Moura,maria-clara16@example.com,2026-03-01,Leão,BA,270.65,2026-08-07 12:31:35.785793
a919847c-d19e-4c64-9490-bc2cb0578a37,Aurora das Neves,wramos@example.org,2025-04-13,Ribeiro da Serra,BA,559.13,2026-08-03 21:40:01.974914
ff1854e8-9c06-4ba7-b234-0c92f4ff91e5,Luiz Gustavo Rezende,camargodavi-luiz@example.com,2026-07-08,Alves,sao paulo,398.74,2026-08-30 02:31:40.640608
f49ba1e9-8d4b-4a70-9968-24f5fd0bf7bb,Luiz Miguel Moreira,joao24@example.org,2025-08-23,Câmara,BA,904.09,2026-08-04 18:53:40.419469
d00597dc-12f9-4f2f-9939-14a0c20cd057,Gabrielly Cirino,cavalcantimaria@example.net,2025-11-15,Lopes do Sul,PR,473.8,2026-08-19 23:14:55.653332
8f5d3819-0127-425e-ab37-60ba579a34b7,Maysa Albuquerque,cassianoravi@example.net,2025-09-16,Barbosa,BA,,2026-08-04 05:26:37.470228
2157c11c-ae55-4fb6-9d55-980d1902ac61,Ana Vitória Fogaça,ana-juliamendes@example.com,2025-09-15,Ferreira de da Rosa,São Paulo,156.6,2026-08-11 11:17:04.789811
f88df86e-8002-4f96-82e3-992dab6bcf2f,Ana Camargo,hellena43@example.org,2026-08-23,Siqueira,PR,,2026-08-22 18:19:26.419103
13ad4b07-7661-4248-b795-07d29e5d9d9b,Apollo Santos,mateus01@example.org,2025-09-16,Borges do Norte,Rio de Janeiro,866.6,2026-08-11 10:57:34.872942
d7cf0217-dc1f-4629-b2cc-ab6e03e46a5c,Emanuelly Brito,xpimenta@example.net,2025-09-06,Pires,SP,422.82,2026-08-01 15:19:39.388838
63556076-c31e-4505-8b20-f573e60b99bf,Pedro Santos,carvalholivia@example.org,2025-06-23,Duarte das Flores,BA,798.1,2026-08-25 20:16:01.390441
6c411154-c4b3-4773-a03a-56a92bc1cc63,Maria Fernanda Nascimento,joao90@example.net,2024-10-02,Silveira,SC,822.06,2026-08-29 02:36:19.275153
26fd5a48-16c5-415c-b7e6-1e66f60681de,Ana Júlia Almeida,qmelo@example.com,2025-01-25,Vasconcelos de Costela,PR,76.3,2026-08-13 03:40:52.072403
2b4d307e-6b7b-40f4-9637-aff801841ea9,Luigi Oliveira,arthuraraujo@example.com,2025-01-12,da Cruz de Goiás,São Paulo,635.1,2026-08-11 22:05:30.141965
27cab2ec-662a-4360-8757-3bbaf2c21718,Sr. João Vitor Machado,lorenasiqueira@example.com,2025-11-29,Pereira,MG,912.33,2026-08-06 20:02:21.032218
1cd7923f-45f8-4d52-9ceb-31818d46837d,Kamilly Casa Grande,bruno83@example.net,2024-11-08,Fernandes,rio de janeiro,483.42,2026-08-11 01:17:45.237961
c6f38c7d-0364-4a28-a57f-7bbbf2056f21,Asafe Campos,rochalorenzo@example.com,2026-02-06,Santos da Praia,sao paulo,481.57,2026-08-15 07:50:53.891760
6041ba12-1d7a-41ec-8e98-21bfbabb2126,Levi Macedo,costamarcos-vinicius@example.org,2025-10-15,Oliveira da Mata,BA,383.6,2026-08-21 07:06:09.078832
1b9a071b-e48b-48fc-bf96-7f1bc9cb33f2,Arthur Miguel Novais,ceciliaalbuquerque@example.org,2025-12-12,da Mata,PR,178.88,2026-08-23 03:49:15.756829
f55127b9-4d73-42dd-92c7-9d53f10ff979,Maria Julia Castro,esthercunha@example.org,2026-04-30,da Rosa,SC,506.8,2026-08-06 01:08:29.869630
1e4774ec-ac6d-4b33-a44c-8d5db5268f2d,Ísis Moreira,maria-laura88@example.org,2026-06-26,Pacheco,São Paulo,598.61,2026-08-26 12:55:24.043500
985a82b0-764b-42c1-b4db-534cfed8b117,Rafaela Oliveira,raulmoura@example.net,2026-03-24,Alves,rio de janeiro,547.48,2026-08-17 16:25:52.117606
9dc3dde0-1c25-4262-ba1a-8d3117e632c5,Ravi Lucca Correia,qnunes@example.net,2026-06-10,Albuquerque,PR,,2026-08-28 19:49:15.267683
5a16cfdb-5b50-4f39-b391-263567de58ca,Calebe Pacheco,borgesapollo@example.org,2025-03-27,Costa,BA,816.49,2026-08-27 08:18:40.478809
ddb538cd-4af0-47ce-b150-52b36046b988,Theo Pinto,ana-carolina55@example.net,2025-03-18,Gonçalves,MG,533.28,2026-08-29 17:10:02.755220
9d625ccf-92d7-4073-b898-4d54c64ae047,Thiago Oliveira,clarice01@example.net,2026-07-07,Fonseca de Mendes,MG,534.81,2026-08-28 01:02:35.647447
4e6412b1-87fc-4e12-a0bd-7073f4438d8e,Maria Laura Dias,pastorapollo@example.com,2025-08-31,Sousa,BA,402.36,2026-08-26 17:13:59.366230
72d175fa-fd81-4510-b6df-0b007a941fa3,Dra. Alexia Viana,caioalmeida@example.net,2025-03-31,Aparecida,PR,978.74,2026-08-24 23:32:14.361860
b016a069-85fc-49ba-8d20-0629b4b29789,Dr. Pedro Henrique Pacheco,wabreu@example.com,2025-02-02,Mendonça de Nunes,MG,155.08,2026-08-15 07:58:55.708414
019b899b-5b0c-472c-b6d5-c5277f5a871f,Liam Pinto,sophiaaragao@example.org,2026-03-27,Fernandes,PR,,2026-08-08 13:16:20.378248
5b2d3224-719b-447c-b2f3-fe81f7ef35da,Léo Pinto,gmendonca@example.org,2025-05-29,Melo da Praia,São Paulo,276.53,2026-08-18 15:00:06.371657
db4f78cb-75e2-448d-b4a0-a78b93fae50b,Levi Moura,hellena48@example.org,2026-01-22,Correia de Costa,PR,636.17,2026-08-21 13:25:11.424435
cfcebb10-001b-458f-b239-1ed3ad95bf76,Sra. Ana Clara Cavalcante,ppeixoto@example.com,2025-12-24,Viana de Vieira,SC,730.54,2026-08-30 03:55:45.831042
