user_id,nome,email,data_cadastro,cidade,estado,valor_ultima_compra,data_ultimo_login
3e4cd4aa-904c-45d7-a242-cd4e64601acb,Ana Liz Novaes,nicolasgoncalves@example.net,24/06/2026,Dias,sao paulo,"R$ 968,82",2026-08-22 22:09:58.191486
6d4516ab-8cc3-47d2-9e43-f152ae798e00,Francisco Silveira,ybarros@example.net,01-Mar-2025,Albuquerque do Campo,PR,"R$ 275,88",2026-08-10 17:02:09.777518
fc579140-e00a-474a-8899-4f4fe4836ba5,Marcelo Viana,,06/04/2025,Pinto,SC,"R$ 862,21",2026-08-16 13:59:36.257180
d02c239a-ca87-457d-9461-9fd94a15d9b5,Sabrina Abreu,qsilveira@example.com,30-Mar-2026,Ramos,SC,"R$ 754,25",2026-08-30 11:41:40.628894
fbb944bd-8db8-4454-96f0-c68163e37489,Luara Costela,,02-07-2026,da Conceição de Nunes,São Paulo,,2026-08-27 21:45:52.494628
39093ac4-e09c-4013-93b2-eb09ca761885,Otto Porto,acastro@example.org,10-22-2025,Campos,BA,,2026-08-08 07:21:52.457987
db500b22-0f0e-4aaa-863b-6b95a658a6ce,Liz Aparecida,pvieira@example.org,03-20-2026,da Cunha do Norte,PR,"R$ 855,67",2026-08-29 04:29:31.335881
a7ebb418-769e-4517-9ccf-85a829bd8dbd,Maria Vitória Borges,waparecida@example.com,06-18-2025,Machado de Minas,rio de janeiro,"R$ 622,53",2026-08-21 11:58:55.743003
04fe67fc-769a-429e-b15d-60f80776ccc0,Dr. Lorenzo Costela,mariacamara@example.org,03-16-2025,Pinto do Sul,sao paulo,"R$ 328,14",2026-08-10 22:22:39.568421
f94f53d8-3f23-495a-a826-2a7e61254fc1,Dr. Vicente Abreu,lucas-gabrielcassiano@example.net,2025-11-04,Albuquerque,SC,"R$ 148,21",2026-08-01 04:44:11.521253
f4fb5807-8c86-4f9e-a7ec-7a3c65a49824,Caleb Sousa,samuelrios@example.com,08-29-2026,das Neves,BA,"R$ 206,54",2026-08-16 12:20:20.425480
094c9565-2ae8-41b4-bf59-7b075fcbf16f,Mariah Porto,kaiquenascimento@example.com,02-Feb-2026,Moraes,PR,"R$ 913,75",2026-08-06 17:48:07.843359
0950706c-2243-41bf-9d56-0c897955e6bc,Isaque Moura,,08-29-2025,Pinto de Marques,SP,Não informado,2026-08-16 11:05:10.885572
e7f95157-c04e-4ad7-b73b-42715788ab40,Maria Fernanda da Costa,ucavalcanti@example.org,28-Nov-2025,Castro de Rezende,BA,,2026-08-08 10:16:25.719817
c3eb4b23-dabc-4128-994b-a4db971813ce,Enzo Peixoto,peixotoesther@example.org,19/07/2026,Araújo Alegre,rio de janeiro,"R$ 991,65",2026-08-29 11:39:02.259929
8df862a8-e353-4f29-8697-918fa854a6a0,Heloisa Barros,ravi-lucca32@example.net,09-05-2024,Casa Grande,BA,"R$ 946,19",2026-08-01 10:48:34.582515
67c4b212-b954-413b-8cad-3f555247c1ee,Maria Luísa Pinto,maria-ceciliamoreira@example.net,2024-12-15,Guerra de Cavalcanti,São Paulo,"R$ 149,09",2026-08-09 02:10:44.897163
52c05558-c4d8-4fdb-bb99-57eb8d9b1883,Nina Moreira,nunesmurilo@example.com,06-06-2025,Pastor de Araújo,SC,,2026-08-18 21:41:28.526306
6ffe6652-2026-45c5-888b-f35a5609406d,Ester Alves,ceciliaborges@example.org,2026-07-19,Aragão Paulista,BA,"R$ 681,52",2026-08-17 06:03:19.258372
c1818dd9-3e7f-4ec6-bded-1b42576304de,Matheus Pereira,luisafonseca@example.com,09-Jan-2026,Azevedo,PR,"R$ 497,97",2026-08-10 22:08:43.139984
baccfe9e-4e6a-4a73-bb70-3a388270da5d,Oliver Costa,da-luzpedro-henrique@example.com,02-Aug-2026,Cavalcante do Campo,São Paulo,"R$ 451,53",2026-08-13 14:42:32.105517
ea0e2323-4c3a-4fc0-b13f-ca3fa1690d2d,Ravi Nascimento,brendamartins@example.net,20/06/2026,Santos das Pedras,Rio de Janeiro,,2026-08-30 16:30:06.635634
